,stamp,x,y,qx,qy,qz,qw,var_x,var_y,var_theta
45,1677886419.28872,44.28931619139436,7.961456687977081,0.0,0.0,0.12341749360625891,0.9923548368763812,0.020378165642796375,0.014119721519620043,0.006803957793316703
46,1677886419.69216,44.83034384536272,7.974012074195735,0.0,0.0,0.10820537232568528,0.9941285618067011,0.01895538789381135,0.015448947615574582,0.007153961624444944
47,1677886420.095593,45.36453299794547,7.966609141079795,0.0,0.0,0.0924286481589089,0.9957193103478091,0.021107030075199873,0.014434264502227734,0.007079788728148071
48,1677886420.499033,45.92136193682865,7.954148804037378,0.0,0.0,0.04714610921127997,0.9988880039254842,0.023036996940390964,0.01654046844172541,0.006540570821091734
49,1677886420.902472,46.40256957354044,7.948323624090039,0.0,0.0,0.04966985578494875,0.9987656909537403,0.020829035923270567,0.015607442102009372,0.005516955653375751
50,1677886421.305906,46.87246827516155,7.938503933986971,0.0,0.0,0.014838973159749066,0.9998898963763782,0.021405059093012824,0.015929144337917478,0.00460063679879629
51,1677886421.709346,47.36422575867368,7.9276054860588685,0.0,0.0,0.024024608945750335,0.9997113674281212,0.02369287837200318,0.01585365702084829,0.003938337513380534
52,1677886422.11278,47.856156574282906,7.9244789180342785,0.0,0.0,0.015423652726554635,0.999881048393543,0.021434143718579435,0.014682416726785164,0.0037103807914105297
53,1677886422.51622,48.37148770261698,7.8709494704901095,0.0,0.0,-0.011069821649130018,0.9999387276471776,0.02180849011256214,0.015465083527580248,0.003914984413481581
54,1677886422.919659,48.89360366653429,7.80561420602849,0.0,0.0,-0.0433624012009457,0.9990594087250709,0.021861296564566146,0.015373692008040507,0.00346465782095292
55,1677886423.323093,49.40445502230201,7.733741983887285,0.0,0.0,-0.05538971688858837,0.99846481122922,0.022485635969133,0.013876619180869909,0.0031355360143709658
56,1677886423.726533,49.884573362546654,7.671635292968908,0.0,0.0,-0.04456068683370857,0.9990066792513993,0.023229710730902298,0.0125725288913614,0.0030801242437860283
57,1677886424.129967,50.363199550958306,7.6531251424075775,0.0,0.0,-0.0575565838566258,0.9983422457528055,0.024595394967491302,0.012454020621483153,0.0031218098312236803
58,1677886424.533406,50.862313460362685,7.6108101331880365,0.0,0.0,-0.06842610648191784,0.9976561872467514,0.02540782108098938,0.014454355271780628,0.003213323058631219
59,1677886424.936846,51.330988027533856,7.562556098769724,0.0,0.0,-0.08927746617338922,0.996006794170431,0.024241018020347838,0.015960471400376264,0.0031228218144527275
60,1677886425.34028,51.79817338725803,7.4837142644785235,0.0,0.0,-0.11170492920249354,0.9937414194808758,0.025157580924769718,0.015418224350113974,0.002769634034049708
61,1677886425.84458,52.313570403117886,7.3347100371166984,0.0,0.0,-0.13735321498640318,0.9905221321772164,0.025021943883984932,0.01591020120004316,0.0032234020162987755
