stamp, x, y, theta
 1.67789e+09,8.85339, -20.8114, 0.553572
 1.67789e+09,9.3527, -20.6939, 0.893118
 1.67789e+09,9.83302, -20.4096, 1.18052
 1.67789e+09,10.1676, -20.0182, 1.36777
 1.67789e+09,10.3283, -19.5786, 1.36578
 1.67789e+09,10.4477, -19.0701, 1.42659
 1.67789e+09,10.5121, -18.5619, 1.41956
 1.67789e+09,10.5982, -18.0325, 1.45144
 1.67789e+09,10.6242, -17.538, 1.43892
 1.67789e+09,10.6739, -17.0359, 1.46027
 1.67789e+09,10.7106, -16.4432, 1.47165
 1.67789e+09,10.7463, -15.9287, 1.47358
 1.67789e+09,10.8285, -15.4332, 1.43393
 1.67789e+09,10.9257, -14.8998, 1.41838
 1.67789e+09,10.9941, -14.3123, 1.46214
 1.67789e+09,10.9723, -13.8652, 1.51353
 1.67789e+09,10.9006, -13.2927, 1.4995
 1.67789e+09,10.88, -12.7376, 1.48255
 1.67789e+09,10.9009, -12.2103, 1.45332
 1.67789e+09,10.9354, -11.6668, 1.4991
 1.67789e+09,10.9558, -11.183, 1.46646
 1.67789e+09,10.9769, -10.6954, 1.4922
 1.67789e+09,10.9946, -10.1472, 1.53859
 1.67789e+09,10.9992, -9.62814, 1.51048
 1.67789e+09,11.041, -9.0983, 1.48362
 1.67789e+09,11.1161, -8.59939, 1.45086
 1.67789e+09,11.2003, -8.12968, 1.43977
 1.67789e+09,11.2981, -7.67169, 1.33913
 1.67789e+09,11.3999, -7.19291, 1.25694
 1.67789e+09,11.5294, -6.72486, 1.19049
